G
8.7347
8.7355
8.7344
8.7389
16.3149
11.0284
11.016
10.4402
10.7518
11.108
10.9658
10.4021
13.5721
13.1516
13.2779
7.2496
13.1516
13.1534
10.6102
10.9666
10.9666
10.9106
9.9071
9.8221
13.572
13.572
10.7948
16.7102
13.2532
11.2547
16.0576
9.7622
10.2179
17.6777
10.2179
13.5782
13.5782
15.0248
11.0307
13.7224
11.1543
13.572
13.7118
11.132
10.5972
16.4843
11.1724
11.9559
12.7231
7.0816
11.8101
7.6304
11.1994
13.9077
11.4687
11.4743
12.5533
12.2046
11.1898
10.7934
10.5739
10.3522
13.8063
10.9892
13.7224
13.8335
12.1013
11.3018
13.9051
11.7867
11.7633
11.0466
10.9096
10.9096
11.1838
12.1042
11.0159
11.0159
11.0159
11.0466
10.9096
12.0548
11.1769
9.8789
9.8881
9.887
12.0779
12.1042
11.1831
12.9479
11.0979
12.0548
12.1042
9.9676
12.9479
10.0325
10.6981
11.5427
10.0394
10.6593
10.0416
10.7253
9.3397
11.2017
13.9077
12.488
11.2017
12.4886
9.9519
8.7808
9.2854
11.0569
11.0569
11.0569
11.0569
11.0393
11.0464
11.2017
13.9077
10.6406
13.9077
13.9077
12.0493
10.2179
10.6401
12.425
10.9096
15.093
15.093
11.1846
10.9012
13.9077
13.9077
11.0143
11.0143
12.9016
13.9077
10.9253
8.752
10.003
16.2529
10.031
11.0951
11.0951
10.6918
11.0464
13.9077
13.9318
10.2179
8.8025
10.9431
13.9797
10.7934
8.4402
9.3488
9.3488
9.3397
9.3397
9.3397
10.8996
11.2017
11.2017
11.2017
11.2017
10.9253
10.8996
13.9077
10.2179
13.9077
10.6406
13.9077
8.1343
10.8996
10.8996
10.8996
13.9077
11.1691
10.9253
10.9253
10.9253
8.6933
16.5115
7.6665
10.846
10.0249
10.0287
10.665
8.7371
11.0569
11.0569
8.7383
10.665
12.688
10.0234
10.0688
10.0407
10.3343
8.0
13.5477
16.5116
7.5756
12.323
10.9892
10.9892
10.9892
10.9892
10.9892
8.0
8.8498
16.7244
15.0932
9.9531
9.9529
9.9531
11.2834
10.6446
12.7025
8.4813
8.9801
8.9801
13.4335
12.7231
16.1527
16.2551
14.5722
16.6958
11.095
7.6667
11.0951
11.2059
14.2009
14.2009
7.7198
7.6667
10.8236
16.2568
10.8333
7.4895
16.7008
11.1132
16.7007
7.7074
11.878
16.752
10.2179
11.8344
8.8025
8.8026
7.6388
16.5566
7.6667
10.9942
10.7864
16.8618
13.7579
16.0783
11.156
14.2636
14.3731
13.3573
10.9413
10.0239
16.7521
11.318
11.318
10.9892
14.2476
14.2476
14.2476
16.682
16.4347
16.656
16.6632
7.7198
11.1202
18.2921
16.6193
13.7678
7.7227
12.3343
8.9329
16.6968
16.6966
16.398
16.398
15.0932
16.6459
16.8462
14.3738
11.9936
12.4921
8.6967
16.5438
11.0062
11.0062
11.0062
11.0062
11.2669
10.3043
11.0062
11.0062
11.0062
11.2834
11.2834
11.2017
10.2179
11.2834
11.2017
12.9013
11.4663
13.768
11.0853
13.768
10.4395
11.9596
10.9892
11.0856
10.8512
10.8512
9.9028
14.8746
10.3519
11.9507
10.9892
11.5252
11.5252
11.2945
11.1923
10.2179
10.9892
11.0555
8.721
8.1776
11.3264
9.042
10.9433
13.6983
9.3397
10.9892
9.3397
10.9892
11.2462
8.4108
16.7533
16.7517457005306
11.2834
11.8529
13.9797
11.3374
8.4217
13.626
10.665
16.1915745738224
11.2462
13.626
8.4842
8.1265
12.7025
12.2247
10.0235
8.9692
14.3065
13.768
10.0243
11.2834
10.8352
11.2834
13.768
8.5125
16.635
16.752
16.7447
16.6377
12.9012
16.752
16.7619
8.8026
8.8026
8.8026
16.7633
10.3565
10.3565
10.9892
7.7001
8.4047
16.1926
11.0348
11.2834
12.901
16.7104
16.5184
13.7118
13.7098
8.4842
16.5129
10.8352
11.2834
14.0598
10.9413
16.5238
10.1646
16.5239
13.414
10.5389
10.0132
11.1153
10.5384
11.2242
13.5003
8.6933
10.7934
10.622
11.0176
11.0176
10.9311
10.9311
10.0318
10.6396
10.9253
10.9253
11.8186
13.4309
10.7709
10.6403
10.6401
10.3522
13.8046
8.0515
10.6494
13.9077
13.9077
13.9077
10.6411
13.9077
12.323
8.5113
10.6402
11.2519
10.3238
10.2179
10.6402
10.3238
11.0406
11.1574
11.1574
11.1543
7.553
11.1574
11.0405
10.9368
7.0765
11.1543
11.8027
10.9725
10.498
10.0198
9.0906
10.6406
13.9077
13.9077
13.9077
8.6933
10.6403
10.2179
8.7175
9.7675
8.7103
12.1099
11.1413
11.2171
10.9441
13.9077
13.9077
10.2179
15.093
13.9318
13.6983
13.9077
10.2179
12.1995
11.0464
11.0869
13.9077
9.9654
10.9253
11.3952
11.2834
11.1923
10.347
8.6933
8.6933
14.3771
9.3488
10.2179
10.2179
10.3106
10.8996
10.6204
10.8995
